pairs,sub,sub_a2v
Ba Ru,0.0005,0.0738349179612788
Ba S,0.0005,0.05738748377128321
Ba Sb,0.0025,0.10938657137258706
Ba Sc,0.0041,0.22603386786077012
Ba Se,0.0012,0.09625020082856275
Ba Si,0.0004,0.06480312259449617
Ba Sm,0.0171,0.22992388954163132
Ba Sn,0.0043,0.19191379145612578
Ba Sr,0.2686,0.9947008144171008
Ba Ta,0.0006,0.1331045747509326
Ba Tb,0.0066,0.14966405554651868
Ba Tc,0.0006,0.1360310679813872
Ba Te,0.0017,0.2126254811315678
Ba Th,0.0103,0.32063527818958115
Ba Ti,0.0021,0.17575283553512563
Ba Tl,0.0115,0.13257905298694264
Ba Tm,0.0054,0.1729481928852107
Ba U,0.0036,0.27232098139723704
Ba V,0.0042,0.20175871699474182
Ba W,0.0003,0.1838516962155825
Ba Y,0.0068,0.2008279804936042
Ba Yb,0.0442,0.5267158371269859
Ba Zn,0.0032,0.26921409380478617
Ba Zr,0.0022,0.14732492130616612
B Ba,0.0003,0.07128284354180695
B Be,0.032,0.26580540391039026
B Bi,0.0015,0.23409079613881967
B Br,0.0011,0.13856514355690705
B C,0.0227,0.8517565760114392
B Ca,0.0004,0.06693395674904197
B Cd,0.0011,0.09696103024303764
B Ce,0.0007,0.07126504447760075
B Cl,0.0008,0.12425939300327932
B Co,0.0045,0.0962557539876168
B Cr,0.0014,0.19587665673524657
B Cs,0.0002,0.0450250626122644
B Cu,0.0041,0.09361613497630875
B Dy,0.001,0.10014294650042935
Be Bi,0.0021,0.3748434844757003
Be Br,0.0005,0.26882769280534546
Be C,0.0055,0.4090105299482502
Be Ca,0.0029,0.5333628463334988
Be Cd,0.0051,0.738217365560695
Be Ce,0.0027,0.24311458737185423
Be Cl,0.0003,0.22637925850360238
Be Co,0.0215,0.4828895069976656
Be Cr,0.0144,0.6227709273428391
Be Cs,0.0009,0.22030262464758968
Be Cu,0.0543,0.455656885280347
Be Dy,0.0012,0.39738629115809315
Be Er,0.0014,0.4146660730218642
Be Eu,0.0021,0.47269438227936833
Be F,0.0004,0.13511667905195104
Be Fe,0.0286,0.4805029761493936
Be Ga,0.0398,0.5573243055430412
Be Gd,0.0016,0.40183795919819554
Be Ge,0.0425,0.34496571554915195
Be H,0.0061,0.4831348785428223
Be Hf,0.003,0.641581135279965
Be Hg,0.0099,0.6431070586917268
Be Ho,0.0015,0.40930267983520946
Be I,0.0008,0.31529410156971177
Be In,0.0044,0.5438697889945473
Be Ir,0.0076,0.3390600563445699
Be K,0.0011,0.24934942934718926
Be La,0.001,0.23578351417014443
Be Li,0.0125,0.34680977677960884
Be Lu,0.0024,0.48282794799212575
Be Mg,0.0104,0.7620205118643251
Be Mn,0.0335,0.6757514391165554
Be Mo,0.0035,0.4964227159054204
Be N,0.0025,0.1522830436988516
Be Na,0.0013,0.3400535797357073
Be Nb,0.0042,0.5234978920534623
Be Nd,0.0015,0.2738301039811777
Be Ni,0.0253,0.3864419058720959
Be Np,0.0029,0.6370494924829903
Be O,0.0001,0.08779554454648138
Be Os,0.0076,0.41029086258433695
Be P,0.0152,0.23763780986101982
Be Pa,0.0031,0.7363604383665528
Be Pb,0.004,0.5581695482044432
Be Pd,0.0096,0.4270871374818496
Be Pm,0.0017,0.6171734969962753
Be Pr,0.001,0.262623321107167
Be Pt,0.0112,0.41755519218893095
Be Pu,0.0025,0.6285120882750229
B Er,0.0009,0.10487994272159513
