,formula,class>1e-4
338,Li1.5Fe0.5Ti1.5(PO4)3,1
339,Li1.4Cr0.4Ti1.6(PO4)3,1
340,Li1.5Y0.5Ti1.5(PO4)3,0
341,Li1.2Cr0.2Ti1.8(PO4)3,0
342,Li1.2La0.2Ti1.8(PO4)3,1
343,Li1.3La0.3Ti1.7(PO4)3,1
344,Li1.4La0.4Ti1.6(PO4)3,1
345,Li1.5La0.5Ti1.5(PO4)3,1
346,LiSn2(PO4)3,0
347,Li1.3Sc0.3Ge1.7(PO4)3,0
348,Li1.5Ga0.5Ge1.5(PO4)3,0
349,Li1.3Cr0.3Ge1.7(PO4)3,0
350,Li1.3Fe0.3Ge1.7(PO4)3,0
351,Li1.3Sc0.3Ge1.7(PO4)3,0
352,Li1.7Fe0.7Ge1.3(PO4)3,0
353,Li1.5Ga0.5Ge1.5(PO4)3,0
354,Li1.3In0.3Ge1.7(PO4)3,0
355,Li1.5In0.5Ge1.5(PO4)3,0
356,Li1.45Al0.45Ge0.2Ti1.35(PO4)3,1
357,Li1.40Al0.4Ge0.2Ti1.4(PO4)3,1
358,Li1.50Al0.50Ge0.2Ti1.3(PO4)3,1
359,Li1.35Al0.35Ge0.2Ti1.45(PO4)3,1
360,Li1.55Al0.55Ge0.2Ti1.25(PO4)3,0
361,Li1.45Al0.45Ti1.55(PO4)3,1
362,Li1.5Mg2.5V0.5Mo2.5O12,0
363,Li7Ge3PS12,1
364,Li3.2PO3.1N0.7,0
365,Li2TiO3,0
366,Li1.9Mg0.1TiO3.05,1
367,Li1.9Mg0.1TiO3.05,0
368,LiFePO4 ,0
369,Li1.3Al0.3Ti1.7(PO4)3,1
370,Li6PS5Cl,1
371,Li6PS5Cl,1
372,Li6PS5Cl,1
373,Li6PS5Cl,1
374,Li4P2S6,0
375,Li3OBr,0
376,(YPO4)0.8(Li3PO4)0.2,1
377,(YPO4)0.9(Li3PO4)0.1,1
378,(YPO4)0.7(Li3PO4)0.3,1
379,(YPO4)0.8(Li3PO4)0.2,1
380,(YPO4)0.8(Li3PO4)0.2,1
381,(YPO4)0.7(Li3PO4)0.3,1
382,(YPO4)0.9(Li3PO4)0.1,1
383,(YPO4)0.5(Li3PO4)0.5,1
384,(YPO4)0.7(Li3PO4)0.3,1
385,(YPO4)0.5(Li3PO4)0.5,0
386,(YPO4)0.7(Li3PO4)0.3,0
387,LiGaSiO4,0
388,Li0.68Ga0.68Si2.33O6,0
389,Li0.96Ga0.96Si2.04O6,0
390,LiGaSiO4,0
391,Li0.68Ga0.68Si2.33O6,0
392,Li0.96Ga0.96Si2.04O6,0
393,Li0.96Ga0.96Si2.04O6,0
394,LiGaSiO4,0
395,LiGaSiO4,0
396,LiTi2P3O12,0
397,LiZr2P3O12,0
398,Li2InTi(PO4)3,1
399,Li1.6Al0.6Ge1.4 (PO4)3,1
400,Li6.25PS5.25Cl0.75,1
401,Li3.8Ge0.8P0.2O4,0
402,Li3PO4,0
403,Li3VO4,0
404,Li3.2Ge0.2P0.8O4,0
405,Li3V0.6P0.4O4,0
406,Li3.2Ge0.2P0.8O4,0
407,Li3P0.4V0.6O4,0
408,Li3.6Ge0.6P0.4O4,0
409,Li3.4Ge0.4P0.6O4,0
410, Li3.2Ge0.2V0.8O4,0
411,Li3.6Ge0.6V0.4O4,0
412,Li3.8Ge0.8V0.2O4,0
413,Li3.2Ge0.2V0.8O4,0
414,Li3.4Ge0.4V0.6O4,0
415,Li3P0.6V0.4O4,0
416,Li4GeO4,0
417,Li3P0.8V0.2O4,0
418,Li3P0.2V0.8O4,0
419,Li3V0.2P0.8O4,0
420,Li3V0.4P0.6O4,0
421,Li3V0.8P0.2O4,0
422,Li6PS5Br,1
423,Li4Al0.33Si0.33P0.33O4,1
424,Li4Al0.33Si0.17Ge0.17P0.33O4,1
425,Li4Al0.33Si0.17Ge0.17P0.33O4,0
426,Li4.25Si0.75Al0.25O4,1
427,Li3.75Si0.75P0.25O4,1
428,Li4Al0.33Si0.33P0.33O4,1
429,Li3.75Si0.75P0.25O4,0
430,Li4Al0.33Si0.33P0.33O4,0
431,Li4.25Si0.75Al0.25O4,0
432,Li3.75Si0.75P0.25O4,0
433,Li3.75Si0.75P0.25O4,0
434,Li4.25Si0.75Al0.25O4,0
435,Li4.25Si0.75Al0.25O4,0
436,Li4SiO4,0
437,Li4Al0.33Si0.33P0.33O4,0
438,Li4SiO4,0
439,Li4SiO4,0
440,Li4SiO4,0
441,Li6PS5I,1
442,Li5PS4(BH4)2,1
443,Li5PS4(BH4)2,1
444,LiBH4,0
445,LiBH4,0
446,Li0.245La0.592Ti0.98Mn0.02O3,1
447,La0.55Li0.36Ti0.995Al0.005O3,1
448,La0.54Li0.36TiO3,1
449,La0.51Li0.36Ti0.95W0.05O3,1
450,La0.56Li0.36Ti0.95Al0.05O3,1
451,La0.55Li0.36Ti0.95Ge0.05O3,1
452,La0.58Li0.36Ti0.95Mg0.05O3,1
453,La0.55Li0.36Ti0.95Mn0.05O3,1
454,La0.55Li0.36Ti0.95Ru0.05O3,0
455,LiCa1.65Ti1.3Ta1.7O9,0
456,LiSr1.65Ti2.15W0.85O9,1
457,LiCa1.65Ti1.3Nb1.7O9,0
458,Li0.34La0.51TiO2.94,1
459,La0.5Li0.375Na0.125TiO3,1
460,Sm0.52Li0.38TiO2.97,1
461,Li0.10La0.63TiO3,0
462,(La0.5Li0.5)0.75(La0.5Na0.5)0.25TiO3,0
463,(La0.5Li0.5)0.75(La0.5Na0.5)0.25TiO3,1
464,Sm0.52Li0.38TiO2.97,0
465,Li0.34Pr0.56TiO3,0
466,Nd0.55Li0.34TiO3,0
467,Li0.5(La0.4Nd0.1)TiO3,1
468,Li0.34La0.56TiO3,1
469,Li0.34La0.56TiO3,1
470,Nd0.25Li0.25TaO3,0
471,Sm0.25Li0.25TaO3,0
472,Li0.25La0.25TaO3,1
473,Y0.25Li0.25TaO3,0
474,Li0.5Sr0.5Cr0.25Ta0.75O3,0
475,Li0.5Sr0.5Fe0.25Ta0.75O3,0
476,Li0.5Sr0.5Cr0.25Ta0.75O3,0
477,Li0.5Sr0.5Fe0.25Ta0.75O3,0
478, La0.29Li0.12NbO3,0
479,La0.283Li0.15NbO3,0
480,La0.273Li0.18NbO3,0
481,La0.303Li0.09NbO3,0
482,La0.313Li0.06NbO3,0
483,Li0.1Sr0.8Ti0.7Nb0.3O3,0
484,Li0.3Sr0.6Ti0.20Fe0.30Ta0.5O3,0
485,Li0.3Sr0.6Ti0.35Fe0.15Ta0.5O3,0
486,Li0.3Sr0.6Ti0.40Fe0.10Ta0.5O3,0
487,Li0.3Sr0.6Ti0.45Fe0.05Ta0.5O3,0
488,Li0.3Sr0.6Ti0.5Ta0.5O3,1
489,Li0.3Sr0.6Ti0.5Nb0.5O3,0
490,Li0.25La0.41Sr0.25TiO3,0
491,Li0.15La0.51Sr0.15TiO3,0
492,LiCaTiNbO6,0
493,LiSrTiTaO6,1
494,LiSr1.65Ti1.3Ta1.7O9,0
495,LiSr1.65Ti1.3Nb1.7O9,0
496,LiSr1.65Zr1.3Ta1.7O9,0
497,LiSr2Ti2TaO9,0
498,LiSr2Ti2NbO9,0
