,composition,class>1e-4
310,Li1.9Mg0.1TiO3.05,0
311,Li1.4In0.4Hf1.6(PO4)3,1
312,Li2.9Sc1.9Zr0.1(PO4)3,1
313,Li1.5Cr0.5Ti1.5(PO4)3,1
314,Li1.6Cr0.6Ti1.4(PO4)3,1
315,Li1.3Cr0.3Ti1.7 (PO4)3,0
316,(YPO4)0.9(Li3PO4)0.1,0
317,Li3Al0.4Sc1.6(PO4)3,0
318,Li1.2In0.2Hf1.8(PO4)3,1
319,Li1.3In0.3Hf1.7(PO4)3,1
320,Li1.2Ti1.8Sc0.2(PO4)3,1
321,(YPO4)0.7(Li3PO4)0.3,0
322,Li1.2Fe0.2Hf1.8(PO4)3,1
323,Li2.1OH0.9Cl,0
324,Li2OHCl,0
325,Li2.4OH0.6Cl,0
326,Li2.7OH0.3Cl,0
327,Li6.5La2.9Ba0.1Zr1.4Ta0.6O12,1
328,Li6.5La3Zr1.5Ta0.5O12,1
329,La0.57Li0.29TiO3,1
330,(La0.5Li0.5)0.75(La0.5Na0.5)0.25TiO3,1
331,Li0.10La0.63TiO3,0
332,Li0.34La0.51TiO2.94,1
333,Li10SiP2S12,1
334,Li0.067La0.64TiO2.99,0
335,Li6.6La2.75Y0.25Zr1.6Ta0.4O12,1
336,Li0.06La0.66Ti0.93Al0.06O3,0
337,Li10Ge(PS6)2,1
338,Li7La3Zr2O12 ,0
339,Li7La3Hf2O12,0
340,Li6.6La2.5Y0.5Zr1.6Ta0.4O12 ,1
341,Li6.6La2.875Y0.125Zr1.6Ta0.4O12 ,1
342,Li0.10La0.66Ti0.90Al0.10O3,0
343,LiBH4,0
344,Li3O(Cl0.5Br0.5),1
345,Li6.6La3Zr1.6Sb0.4O12,1
346,Li6.5La3Zr1.75Te0.25O12,1
347,LiTi2P3O12,0
348,Li1.2Ta0.9Al1.1P3O12,0
349,LiTaAlP3O12,0
350,LiBa2Ti2NbO9,0
351,Li0.3Sr0.6Ti0.5Nb0.5O3,0
352,Li0.3Sr0.6Ti0.5Ta0.5O3,1
353,Li0.3Sr0.6Ti0.45Fe0.05Ta0.5O3,0
354,Li2ZrS3,0
355,Li7La3Ta2O13,0
356,La0.561Li0.315Ti0.995Al0.0067O3,1
357,Li2.2Zn0.1Zr0.9S3,1
358,LiAlTa(PO4)3,0
359,LiCrSb(PO4)3,0
360,LiAlSb(PO4)3,0
361,LiFeSb(PO4)3,0
362,Li6.8La3Zr1.8Sb0.2O12 ,0
363,Li6La3ZrSbO12 ,1
364,Li6.4La3Zr1.4Sb0.6O12 ,1
365,La0.561Li0.315Ti0.95Al0.067O3,1
366,Li1.2Al1.1Ta0.9(PO4)3,0
367,LiFePO4 ,0
368,Li6.5La3Zr1.75Te0.25O12 ,1
369,Li9SiAlO8,0
370,Li6.7La3Zr1.7Ta0.3O12,1
371,Li4.4Al0.4Ge0.6S4,0
372,Li0.36La0.55TiO3,0
373,Li4.4Ga0.4Sn0.6S4,0
374,Li4.4Al0.4Sn0.6S4,0
375,Li3V0.8P0.2O4,0
376,Li3V0.4P0.6O4,0
377,Li3V0.2P0.8O4,0
378,Li3P0.2V0.8O4,0
379,Li3P0.8V0.2O4,0
380,Li4.4Ga0.4Ge0.6S4,0
381,Li3.4Ge0.4V0.6O4,0
382,Li3.2Ge0.2V0.8O4,0
383,Li3.8Ge0.8V0.2O4,0
384,Li3.6Ge0.6V0.4O4,0
385, Li3.2Ge0.2V0.8O4,0
386,Li3.4Ge0.4P0.6O4,0
387,Li3P0.6V0.4O4,0
388,Li3P0.4V0.6O4,0
389,LiZr2P3O12,0
390,Li3.8Ge0.8P0.2O4,0
391,Li3PO4,0
392,Li3.6Ge0.6P0.4O4,0
393,Li3.2Ge0.2P0.8O4,0
394,Li3V0.6P0.4O4,0
395,Li0.1Na0.1La0.6TiO3,0
396,Li6.4La3Zr1.4Ta0.6O12,1
